partnerID,country,region_state,day,month,year,voter_gender,voter_year_of_birth,education_level,priority1,priority2,priority3,priority4,priority5,priority6,suggested_priority
MDGsNG,Nigeria,Delta,14,3,2013,Female,1996,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,2,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,1,103,104,101,105,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1961,2,103,104,101,105,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,3,109,103,104,108,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,3,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1968,2,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,3,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1988,4,106,104,108,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1972,3,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,2,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,3,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1986,4,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1968,3,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1974,3,109,103,104,108,101,225,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1992,3,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,2,109,107,108,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1989,4,112,107,104,108,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,3,109,106,103,104,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1960,2,106,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1988,4,106,103,102,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1958,2,109,106,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,3,109,106,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1978,2,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1962,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,1,109,106,114,108,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1991,2,109,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1948,2,109,103,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1933,1,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,109,103,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1966,2,109,106,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1991,2,109,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1978,2,109,106,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1992,3,109,107,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1965,2,109,107,104,108,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,3,106,103,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1952,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1943,1,103,104,101,111,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,3,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1988,3,106,103,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1992,2,106,103,104,101,103,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1985,3,109,103,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1982,2,109,107,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,103,104,101,111,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,2,106,103,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1965,3,103,104,101,111,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1980,4,106,103,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1968,3,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1979,2,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1991,2,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1953,1,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,1,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,2,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,2,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1968,2,104,108,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1998,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1955,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1952,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1955,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1943,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1953,1,109,103,104,108,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1967,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1955,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1989,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1978,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1943,1,110,101,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1983,4,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,4,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1948,1,110,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1976,2,109,103,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1976,2,109,103,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1974,4,112,106,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1962,2,110,109,103,104,101,113,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1976,3,103,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1968,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1970,4,112,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1974,4,106,107,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1967,4,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1972,4,106,103,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1977,3,109,103,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1985,3,109,106,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1959,4,112,109,106,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1950,3,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1989,4,106,107,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1980,3,106,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1984,4,112,103,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1961,3,112,109,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1954,4,109,103,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1966,4,109,103,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1970,3,109,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1962,4,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1967,4,112,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1990,2,109,107,114,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1981,4,106,101,111,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1958,2,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1947,3,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1966,3,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,3,106,103,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1966,4,109,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1962,4,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1969,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,3,112,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1972,2,109,106,103,104,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1976,3,109,106,103,114,104,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,2,109,106,103,104,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1972,4,103,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1984,4,106,114,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1950,4,109,106,103,114,104,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,4,109,106,103,114,104,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,3,109,106,103,107,104,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,4,109,106,114,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1968,4,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1966,3,106,101,111,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1977,3,109,106,103,107,104,101,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,2,109,103,107,104,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1950,2,112,109,103,114,104,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1946,3,106,107,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1941,1,109,106,103,104,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1965,4,112,109,106,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1991,3,109,106,103,107,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1953,3,109,103,104,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1961,4,112,106,103,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1975,1,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1970,1,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1940,3,109,106,103,104,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1976,2,109,103,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1950,1,109,103,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1977,2,106,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1940,2,109,106,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1942,2,109,103,104,101,111,102,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1951,3,109,106,103,104,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1962,3,112,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1974,2,112,106,103,104,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1970,2,112,106,104,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1992,3,109,106,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1948,4,106,103,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1952,4,109,106,103,104,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1931,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1988,3,109,102,107,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1936,4,112,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1960,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1964,4,112,106,106,104,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1950,1,109,103,104,101,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1986,3,106,103,107,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1995,2,109,103,107,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1965,4,112,106,103,104,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1958,3,109,106,103,107,104,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1981,3,106,103,104,101,113,115,
